iter	Passed	Remaining
0	57	17294
1	108	16218
2	159	15741
3	206	15278
4	256	15112
5	306	15004
6	360	15076
7	408	14897
8	458	14817
9	507	14727
10	555	14604
11	604	14504
12	656	14495
13	706	14425
14	756	14376
15	809	14371
16	859	14307
17	910	14265
18	964	14263
19	1014	14199
20	1064	14136
21	1114	14081
22	1168	14073
23	1219	14027
24	1272	13992
25	1325	13966
26	1378	13934
27	1434	13936
28	1487	13898
29	1538	13843
30	1589	13796
31	1648	13803
32	1703	13782
33	1760	13772
34	1813	13730
35	1865	13682
36	1917	13632
37	1977	13634
38	2029	13581
39	2082	13539
40	2133	13476
41	2188	13443
42	2246	13424
43	2303	13404
44	2356	13352
45	2411	13314
46	2462	13255
47	2514	13199
48	2566	13145
49	2617	13086
50	2668	13026
51	2721	12979
52	2774	12930
53	2827	12881
54	2886	12859
55	2940	12811
56	2991	12752
57	3047	12714
58	3108	12695
59	3166	12664
60	3229	12651
61	3287	12620
62	3345	12585
63	3404	12553
64	3459	12508
65	3510	12446
66	3562	12390
67	3613	12327
68	3665	12270
69	3717	12213
70	3767	12151
71	3816	12084
72	3870	12036
73	3919	11970
74	3970	11910
75	4021	11851
76	4072	11795
77	4123	11735
78	4173	11674
79	4223	11613
80	4273	11555
81	4324	11496
82	4372	11432
83	4421	11370
84	4472	11312
85	4503	11205
86	4551	11142
87	4603	11089
88	4651	11028
89	4703	10974
90	4753	10916
91	4803	10860
92	4856	10809
93	4907	10753
94	4957	10697
95	5006	10638
96	5058	10587
97	5109	10531
98	5158	10472
99	5208	10416
100	5256	10357
101	5306	10300
102	5344	10221
103	5393	10165
104	5442	10108
105	5493	10054
106	5540	9994
107	5590	9937
108	5642	9887
109	5694	9835
110	5743	9778
111	5795	9728
112	5845	9673
113	5895	9619
114	5946	9566
115	5996	9511
116	6047	9458
117	6081	9379
118	6130	9324
119	6178	9268
120	6230	9217
121	6280	9163
122	6329	9108
123	6381	9057
124	6413	8979
125	6463	8926
126	6513	8872
127	6564	8820
128	6625	8782
129	6754	8832
130	6821	8800
131	6883	8761
132	6944	8720
133	7001	8673
134	7061	8630
135	7120	8586
136	7185	8549
137	7259	8521
138	7316	8474
139	7376	8430
140	7431	8380
141	7489	8332
142	7545	8284
143	7597	8230
144	7647	8175
145	7701	8123
146	7751	8067
147	7801	8012
148	7853	7959
149	7909	7909
150	7960	7854
151	8012	7801
152	8064	7748
153	8115	7694
154	8169	7642
155	8219	7587
156	8270	7533
157	8324	7481
158	8376	7428
159	8426	7373
160	8479	7320
161	8529	7265
162	8578	7210
163	8632	7158
164	8690	7110
165	8758	7070
166	8813	7019
167	8866	6966
168	8918	6912
169	8975	6863
170	9028	6810
171	9080	6757
172	9138	6708
173	9194	6657
174	9248	6605
175	9305	6555
176	9357	6502
177	9409	6449
178	9463	6396
179	9511	6341
180	9561	6286
181	9612	6232
182	9664	6179
183	9722	6129
184	9777	6077
185	9828	6023
186	9878	5969
187	9929	5915
188	9981	5862
189	10034	5809
190	10091	5758
191	10143	5705
192	10202	5656
193	10323	5640
194	10446	5624
195	10527	5585
196	10602	5543
197	10665	5494
198	10724	5443
199	10808	5404
200	10874	5355
201	10937	5306
202	11004	5258
203	11070	5209
204	11135	5160
205	11208	5114
206	11301	5077
207	11389	5037
208	11456	4988
209	11519	4936
210	11579	4884
211	11641	4832
212	11700	4779
213	11756	4724
214	11819	4672
215	11852	4609
216	11907	4554
217	11963	4499
218	12024	4447
219	12091	4396
220	12152	4344
221	12215	4291
222	12278	4239
223	12343	4188
224	12413	4137
225	12451	4077
226	12521	4026
227	12589	3975
228	12660	3925
229	12733	3875
230	12812	3827
231	12903	3781
232	12989	3735
233	13075	3687
234	13163	3640
235	13243	3591
236	13323	3541
237	13400	3490
238	13479	3440
239	13561	3390
240	13644	3340
241	13725	3289
242	13809	3239
243	13893	3188
244	13976	3137
245	14059	3086
246	14148	3035
247	14224	2982
248	14297	2928
249	14375	2875
250	14447	2820
251	14518	2765
252	14595	2711
253	14665	2656
254	14736	2600
255	14789	2541
256	14834	2481
257	14899	2425
258	14964	2368
259	15033	2312
260	15098	2256
261	15174	2200
262	15275	2149
263	15355	2093
264	15428	2037
265	15508	1982
266	15593	1927
267	15665	1870
268	15737	1813
269	15806	1756
270	15876	1698
271	15948	1641
272	16016	1584
273	16084	1526
274	16153	1468
275	16218	1410
276	16283	1352
277	16351	1293
278	16425	1236
279	16494	1178
280	16568	1120
281	16637	1061
282	16705	1003
283	16777	945
284	16844	886
285	16910	827
286	16977	769
287	17043	710
288	17106	651
289	17149	591
290	17183	531
291	17248	472
292	17313	413
293	17383	354
294	17449	295
295	17513	236
296	17580	177
297	17647	118
298	17714	59
299	17784	0
